name,Region,Economy_status_Developed,Life_expectancy,Adult_mortality,Infant_deaths,Alcohol_consumption,percentage expenditure,Hepatitis_B,Measles,BMI,Under_five_deaths,Polio,Total expenditure,Income composition of resources,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling
Afghanistan,Asia,0,63.4,227.735,53.2,0,71.27962,65,1154,19.1,83,6,8.16,0.479,65,0.03,556,34.41,17.2,17.3,3.6
Albania,Rest of Europe,0,78,75.205,8.5,4.33,364.9752,99,0,58,0,99,6,0.762,99,0.03,3953,2.88,1.2,1.3,9.7
Algeria,Africa,0,76.1,95.8155,21.6,0.55,0,95,63,59.5,24,95,0,0.743,95,0.05,4178,39.73,6,5.8,7.9
Angola,Africa,0,59.4,242.9655,57.7,6.53,0,64,118,23.3,98,7,0,0.531,64,0.89,3128,27.88,8.3,8.2,5
Antigua and Barbuda,Central America and Caribbean,0,76.5,130.0025,6.5,9.06,0,99,0,47.7,0,86,0,0.784,99,0.2,14285,0.09,3.3,3.3,9.2
Argentina,South America,0,76.1,117.1895,10.2,8.49,0,94,0,62.8,9,93,0,0.826,94,0.13,13789,43.13,1,0.9,9.8
Armenia,Rest of Europe,0,74.5,125.4875,12.6,4.04,0,94,33,54.9,1,96,0,0.741,94,0.09,3607,2.93,2.1,2.2,11.6
Australia,Oceania,1,82.4,61.7325,3.3,9.68,0,93,74,66.6,1,93,0,0.937,93,0.04,56707,23.82,0.6,0.6,12.8
Austria,European Union,1,81.2,64.6875,3,11.6,0,93,309,57.6,0,93,0,0.892,93,0.08,44196,8.64,1.9,2.1,12.1
Azerbaijan,Asia,0,72.3,124.897,23.3,0.51,0,96,0,52.5,6,98,0,0.758,96,0.05,5500,9.65,2.8,2.9,10.7
Bahamas,Central America and Caribbean,0,73.1,158.589,12,9.27,0,95,0,64.5,0,95,0,0.79,95,0.34,31699,0.37,2.5,2.5,11.1
Bahrain,Middle East,0,76.8,66.684,6.5,1.53,0,98,0,63.6,0,98,0,0.823,98,0.05,22634,1.37,6.2,6.1,9.3
Bangladesh,Asia,0,71.5,129.753,31,0.01,0,97,240,18.3,113,97,0,0.575,97,0.01,1248,156.26,17.9,18.3,5.2
Barbados,Central America and Caribbean,0,78.8,99.0935,13,9.68,0,97,0,54.5,0,97,0,0.794,97,0.28,16559,0.29,3.8,3.7,10.5
Belarus,Rest of Europe,0,73.6,163.872,3.1,9.79,0,99,2,62.3,0,99,0,0.798,99,0.22,5967,9.46,1.9,2,12.2
Belgium,European Union,1,81,71.71,3.3,10.36,0,98,47,63.7,1,99,0,0.895,99,0.08,41008,11.27,1,1,11.7
Belize,Central America and Caribbean,0,74,174.4925,13.2,6.71,0,94,0,5.9,0,94,0,0.706,94,0.4,4805,0.36,3.5,3.4,10.5
Benin,Africa,0,60.6,242.9535,63.2,1.53,0,82,55,25.7,39,78,0,0.481,82,0.33,1077,10.58,6.9,6.8,3.5
Bhutan,Asia,0,70.4,208.003,27.4,0.04,0,99,11,24.5,0,98,0,0.604,99,0.13,2753,0.73,15.4,16,3.1
Bolivia,South America,0,70.3,184.52,25.4,3.15,0,99,0,52.6,10,99,0,0.671,99,0.15,3036,10.87,1.2,1.1,8.7
Bosnia and Herzegovina,Rest of Europe,0,76.9,96.067,5.4,4.9,0,82,1677,55.8,0,74,0,0.747,82,0.08,4730,3.43,2.3,2.3,9
Botswana,Africa,0,67.3,248.595,39.6,6.14,0,95,0,37.9,2,96,0,0.698,95,5.81,6403,2.12,6.4,6.1,9.2
Brazil,South America,0,75,144.3625,14.2,6.63,0,96,214,56.1,47,98,0,0.754,96,0.24,8814,204.47,2.7,2.6,7.6
Brunei Darussalam,Asia,0,75.3,88.093,8.8,0.67,0,99,4,41.2,0,99,0,0.864,99,0.1,31164,0.41,5.7,5.1,9
Bulgaria,European Union,1,74.6,136.0675,6.9,10.89,0,92,0,65.7,1,91,0,0.792,91,0.03,7075,7.18,1.9,1.8,11.8
Burkina Faso,Africa,0,59.9,257.958,59.6,7.03,0,91,99,19.4,61,91,0,0.399,91,0.16,653,18.11,8,7.5,1.4
Burundi,Africa,0,60.1,294.187,46.2,3.99,0,94,9,18.7,31,94,0,0.406,94,0.27,306,10.16,7.3,7.2,2.9
Cabo Verde,Africa,0,72.1,125.149,16.7,4.54,0,83,65,28,79,81,0,0,93,0.26,3043,0.52,6.6,6.6,5.9
Cambodia,Asia,0,68.6,175.654,27.3,3.34,0,96,0,31.3,0,93,0,0.646,89,0.1,1163,15.52,1.9,1.9,4.7
Cameroon,Africa,0,57.6,340.1265,57,4.55,0,89,0,19.6,12,87,0,0.558,84,1.12,1383,23.3,5.6,5.5,6.1
Canada,North America,1,81.9,65.9695,4.7,8,0,84,1809,29,68,83,0,0.514,91,0.1,43596,35.7,0.6,0.5,13.1
Central African Republic,Africa,0,50.9,411.0745,87.9,0.9,0,55,195,67,2,91,0,0.919,47,1.12,377,4.49,8.2,8.2,4.2
Chad,Africa,0,53.1,363.167,75.7,0.66,0,47,150,22.7,21,47,0,0.347,46,0.42,776,14.11,8.5,8.4,2.3
Chile,South America,0,79.6,88.8665,6.7,7.89,0,46,418,19.1,77,52,0,0.394,96,0.19,13495,17.97,0.8,0.8,10.3
China,Asia,0,75.9,82.273,8.3,5.66,0,97,9,63.8,2,96,0,0.845,99,0.1,8016,1379.86,3.6,2.9,7.7
Colombia,South America,0,76.5,140.0675,13.4,4.16,0,99,42361,32.9,183,99,0,0.734,91,0.19,6176,47.52,2.1,1.9,8.1
Comoros,Africa,0,63.5,227.2735,54.4,0.14,0,91,1,57.9,12,91,0,0.724,91,0.01,1243,0.78,6.7,6.5,4.8
Congo.,Africa,0,59.3,260.0235,73,4.47,0,91,0,24.2,2,92,0,0.498,81,0.35,497,76.24,9.5,9.3,6.4
Costa Rica,Central America and Caribbean,0,79.6,85.6715,7.7,3.19,0,92,0,6.5,1,92,0,0.775,92,0.19,11643,4.85,1.7,1.7,8.8
Croatia,European Union,1,77.3,90.2285,4.2,9.64,0,94,206,63.7,0,94,0,0.823,94,0.02,11933,4.2,1.5,1.4,11.2
Cuba,Central America and Caribbean,0,78.6,89.2395,4.5,4.65,0,99,0,61.4,1,99,0,0.773,99,0.16,7694,11.32,3.5,3.3,11.4
Cyprus,European Union,1,80.4,51.6435,2.4,9.59,0,97,0,6.3,0,97,0,0.854,97,0.06,23408,1.16,1,1,11.9
Czechia,European Union,1,78.6,82.5385,2.5,12.76,0,97,9,66.1,0,97,0,0,97,0.08,17830,10.55,1.8,1.8,12.7
Denmark,European Union,1,80.7,67.171,3.5,9.42,0,0,9,58.8,0,93,0,0.923,93,0.03,53255,5.68,1.1,0.9,12.5
Djibouti,Africa,0,64.1,251.749,54.6,0.32,0,84,47,35,1,84,0,0.47,84,0.22,2653,0.91,5.6,5.4,4.1
Dominican Republic,Central America and Caribbean,0,73.2,161.617,28.8,5.39,0,81,0,58.9,7,87,0,0.718,85,0.38,6922,10.28,3.3,3.2,7.8
Ecuador,South America,0,76.1,123.906,13.2,3.69,0,78,0,54.2,7,84,0,0.739,78,0.16,6124,16.21,1.2,1.1,8.4
Egypt,Africa,0,71.3,149.529,19.8,0.18,0,93,5432,61.1,60,93,0,0.688,93,0.13,3563,92.44,2.8,2.8,7.1
El Salvador,Central America and Caribbean,0,72.4,182.1595,13.3,2.54,0,91,0,56.1,2,92,0,0.678,91,0.18,3706,6.33,1.6,1.5,6.6
Equatorial Guinea,Africa,0,57.4,328.8035,67.6,8.11,0,16,1250,24.5,4,17,0,0.582,16,4.2,11283,1.17,8.4,8.3,5.5
Eritrea,Africa,0,64.7,255.781,34,1.03,0,95,198,18.6,7,95,0,0.418,95,0.1,9011,0.35,8.4,8.2,3.9
Estonia,European Union,1,77.6,116.351,2.4,16.72,0,91,4,59.9,0,93,0,0.863,93,0.08,17402,1.32,1.9,1.9,12.7
Eswatini,Africa,0,55.4,434.821,45.2,7.49,0,90,83,26.8,57.2,84,0,0,90,14.3,3680,1.1,4,4.1,6.5
Ethiopia,Africa,0,65,224.423,43.2,0.76,0,77,17745,17.6,194,75,0,0.441,77,0.19,641,100.84,1.4,1.2,2.6
Fiji,Oceania,0,67.1,185.858,20.6,2.63,0,99,0,62.7,0,99,0,0.734,99,0.12,5391,0.87,4,3.7,10.8
Finland,European Union,1,81.5,68.8685,2,8.52,0,0,2,62.1,0,97,0,0.893,97,0.08,42802,5.48,0.9,0.8,12.4
France,European Union,1,82.3,75.4835,3.2,11.87,0,86,157,62.5,3,98,0,0.894,98,0.09,36653,66.55,0.7,0.6,11.5
Gabon,Africa,0,64.9,238.5125,36.1,8.06,0,8,27,36.3,3,79,0,0.694,80,1.09,7385,1.95,6.1,5.9,8.1
Gambia,Africa,0,60.9,261.7065,39.7,2.69,0,97,71,27.3,5,96,0,0.45,97,0.96,661,2.09,7.3,7.2,3.4
Georgia,Rest of Europe,0,73,156.2355,9.4,6.95,0,94,431,56.2,1,91,0,0.768,94,0.14,4014,3.73,2.7,2.8,12.7
Germany,European Union,1,80.6,71.312,3.3,11.06,0,88,2464,62.3,3,94,0,0.924,95,0.03,41103,81.69,1.1,1.1,14.1
Ghana,Africa,0,62.8,244.6325,38.8,1.75,0,88,23,28.6,52,88,0,0.575,88,0.84,1774,27.85,6.2,6.1,6.9
Greece,European Union,1,81,70.7555,3.8,6.68,0,96,1,66.5,0,99,0,0.865,99,0.06,18084,10.82,0.8,0.7,10.6
Grenada,Central America and Caribbean,0,72.4,141.3,14.3,8.2,0,92,0,48.4,0,99,0,0.751,92,0.4,9097,0.11,3.8,3.8,8.7
Guatemala,Central America and Caribbean,0,73.3,163.8125,23.7,1.65,0,74,0,5.6,12,9,0,0.637,74,0.03,3995,15.57,1.2,1.2,6.3
Guinea,Africa,0,59.6,262.871,68.4,0.38,0,54,243,23.3,40,42,0,0.414,54,0.74,769,11.43,7.3,7.3,2.6
Guinea-Bissau,Africa,0,57,270.2885,60,3.13,0,87,153,26.3,6,87,0,0.421,87,1.58,603,1.74,7.1,7,2.9
Guyana,South America,0,69.3,209.372,27.4,5.48,0,95,0,46.7,1,92,0,0.638,95,0.59,5577,0.77,5.5,5.3,8.4
Haiti,Central America and Caribbean,0,62.5,243.6235,52.8,2.78,0,6,0,49.9,18,56,0,0.49,60,0.67,1387,10.7,3.9,3.9,5.2
Honduras,Central America and Caribbean,0,74.5,146.5195,16.5,2.49,0,97,0,51,4,97,0,0.623,97,0.07,2302,9.11,2.1,2.1,6.3
Hungary,European Union,1,75.6,131.7765,4.2,10.95,0,0,0,64.8,0,99,0,0.834,99,0.08,12721,9.84,1.6,1.6,11.8
Iceland,Rest of Europe,1,82.5,55.359,1.8,7.66,0,0,0,61,0,92,0,0.919,92,0.05,52952,0.33,1,0.9,12.2
India,Asia,0,68.6,177.9465,34.9,3,0,87,90387,18.7,1100,86,0,0.615,87,0.06,1606,1310.15,26.7,27.3,6.3
Indonesia,Asia,0,70.8,175.564,23.2,0.08,0,78,15099,27.4,136,8,0,0.686,78,0.15,3332,258.38,1.4,1.2,7.9
Iran,Middle East,0,75.8,81.8615,13.3,0.01,0,98,615,59.7,21,98,0,0.774,98,0.04,5201,78.49,8.5,8.6,9.8
Iraq,Middle East,0,69.9,162.9175,24.8,0.16,0,56,1433,59.1,38,63,0,0.649,58,0.13,4688,35.57,5.3,5.1,6.6
Ireland,European Union,1,81.5,61.0195,3.2,10.81,0,95,4,62.8,0,95,0,0.92,95,0.07,62012,4.7,0.3,0.2,12.3
Israel,Middle East,1,82.1,56.337,3.2,2.74,0,96,80,64.9,1,95,0,0.898,95,0.08,35808,8.38,1.2,1.1,13
Italy,European Union,1,82.5,52.9595,3,7.14,0,93,159,63.6,2,93,0,0.881,93,0.06,30242,60.73,0.6,0.6,10.2
Jamaica,Central America and Caribbean,0,74.1,132.2455,13.4,3.27,0,91,0,54.2,1,91,0,0.729,91,0.47,4908,2.89,1.8,1.7,9.6
Japan,Asia,1,83.8,53.586,2,8.55,0,0,35,29,3,99,0,0.902,96,0.17,34961,127.14,2.1,1.8,12.5
Jordan,Middle East,0,74.1,109.942,15,0.3,0,99,0,65.6,4,99,0,0.741,99,0.13,4164,9.27,4,4,10.3
Kazakhstan,Asia,0,72,182.111,10.6,3.33,0,98,526,53.1,5,98,0,0.793,98,0.14,10511,17.54,2.4,2.5,11.7
Kenya,Africa,0,64.8,223.608,35.2,1.65,0,89,95,22,75,83,0,0.55,89,1.15,1465,47.88,7.8,7.6,6.3
Kiribati,Oceania,0,67.3,198.449,44.7,0.35,0,82,0,77.6,0,8,0,0.586,78,0.17,1535,0.11,0.1,0.1,7.9
Kuwait,Middle East,0,75.1,58.1365,7.5,0,0,99,18,71.4,1,99,0,0.799,99,0.13,29870,3.84,3.5,3.4,7.1
Kyrgyz Republic,Asia,0,70.7,165.7935,19.9,5.37,0,97,17779,44.9,3,97,0,0.662,97,0.12,1121,5.96,3.3,3.4,10.8
Lao PDR,Asia,0,66.5,195.625,42.1,7.09,0,89,56,21.7,11,89,0,0.582,89,0.15,2140,6.74,8.8,8.9,5.1
Latvia,European Union,1,74.5,160.237,4.3,10.8,0,94,0,61.2,0,95,0,0.828,95,0.29,13786,1.98,2.2,2.1,12.8
Lebanon,Middle East,0,78.8,60.3175,7.1,1.15,0,81,39,66.1,1,75,0,0.763,81,0.04,7643,6.53,4.9,4.9,8.5
Lesotho,Africa,0,51,513.4755,72.6,3.07,0,93,0,32.6,6,9,0,0.495,93,10,1146,2.06,5.5,5.3,6.1
Liberia,Africa,0,62.3,241.0125,64.4,3.18,0,52,1060,27.3,11,52,0,0.427,52,3.5,722,4.47,6.5,6.4,4.4
Libya,Africa,0,72.1,134.7895,11.4,0.01,0,97,82,64.8,2,97,0,0.719,97,0.08,7590,6.42,5.8,5.5,7.3
Lithuania,European Union,1,74.3,165.233,4,14.2,0,94,50,62.4,0,93,0,0.846,93,0.09,14264,2.9,2.6,2.6,13
Luxembourg,European Union,1,82.3,54.393,2.3,11.37,0,94,0,61.3,0,99,0,0.896,99,0.1,105462,0.57,1,0.9,12
Madagascar,Africa,0,65.5,218.4575,41.3,0.86,0,69,3,2.5,38,71,0,0.511,69,0.24,467,24.23,7.1,7.1,6.1
Malawi,Africa,0,62,294.858,36.7,2.04,0,88,0,19.6,38,88,0,0.473,88,2.59,381,16.75,6.4,6.2,4.4
Malaysia,Asia,0,75.5,121.723,6.9,0.55,0,99,1318,4.6,4,99,0,0.787,99,0.14,9955,30.27,7.5,7.3,10.2
Maldives,Asia,0,77.7,68.362,8.4,1.26,0,99,0,27.4,0,99,0,0.701,99,0.17,9033,0.45,13.6,13.6,6.3
Mali,Africa,0,57.5,267.5905,66.8,0.62,0,64,215,23.8,84,66,0,0.438,64,0.39,751,17.44,7.7,7.5,2.3
Malta,European Union,1,81.9,51.8135,5.7,7.37,0,95,2,69.6,0,97,0,0.853,97,0.08,24922,0.45,0.8,0.8,11.2
Mauritania,Africa,0,63.9,203.5835,55,0,0,73,1,3.8,12,67,0,0.513,73,0.15,1524,4.05,7.8,7.5,4.3
Mauritius,Africa,0,74.4,144.3615,12.8,2.83,0,97,0,33.3,0,98,0,0.779,97,0.7,9260,1.26,6.9,6.8,9.1
Mexico,North America,0,74.9,110.8405,13.9,4.24,0,82,0,63.5,35,87,0,0.758,87,0.16,9617,121.86,1.5,1.5,8.6
Micronesia,Oceania,0,67.3,164.871,24.2,1.59,0,78,0,69.4,0,71,0,0.637,72,0.17,2907,0.11,0.2,0.2,8
Moldova,Rest of Europe,0,71.5,171.2775,13.6,6.76,0,93,75,24.3,63.5,94,0,0,87,0.36,2732,2.83,2.7,2.8,11.6
Mongolia,Asia,0,69.1,212.841,16.6,8.35,0,99,20359,52.7,1,99,0,0.733,99,0.01,3875,3,2.2,2.3,10.1
Montenegro,Rest of Europe,0,76.4,100.861,3.3,8.49,0,82,0,61.8,0,89,0,0.804,89,0.03,6517,0.62,1.8,1.8,11.3
Morocco,Africa,0,75.7,70.9135,20.2,0.39,0,99,17,58.5,20,99,0,0.645,99,0.03,2875,34.66,6.4,6.2,5
Mozambique,Africa,0,57.2,332.583,61.3,1.22,0,8,79,22.6,81,8,0,0.414,80,3.5,590,27.04,3.6,3.5,3.5
Myanmar,Asia,0,65.8,196.053,41,1.47,0,89,6,23.8,50,89,0,0.552,89,0.28,1197,52.68,12.8,13,4.9
Namibia,Africa,0,62.1,315.473,33.3,2.63,0,92,212,35.7,3,92,0,0.637,92,4.58,4897,2.31,8.2,8.1,6.7
Nepal,Asia,0,69.5,154.604,29.2,0.24,0,91,1599,19.1,21,9,0,0.555,91,0.17,902,27.02,15.7,16.1,4.7
Netherlands,European Union,1,81.5,58.0775,3.4,8.3,0,94,7,62.1,1,95,0,0.923,95,0.04,45193,16.94,1,0.9,12.1
New Zealand,Oceania,1,81.5,67,4.6,8.68,0,92,10,67.5,0,92,0,0.913,92,0.03,38631,4.61,0.4,0.3,12.4
Nicaragua,Central America and Caribbean,0,73.6,148.4805,16.6,3.72,0,98,0,54,2,99,0,0.642,98,0.11,2050,6.22,1.8,1.7,6.5
Niger,Africa,0,60.6,249.086,51.8,0.12,0,65,7693,19.3,87,65,0,0.351,65,0.06,484,20,9.6,9.4,1.8
Nigeria,Africa,0,53.1,356.2145,79.3,4.51,0,49,12423,25.4,747,49,0,0.525,49,0.58,2687,181.14,9.8,9.7,6
North Macedonia,Rest of Europe,0,75.4,97.197,10,3.57,177.6383,0,3,6.8,0,93,9.72,0.945,91,0.08,4862,2.07,2.1,2.1,9.6
Norway,Rest of Europe,1,82.3,53.897,2.2,5.97,0,0,14,61.2,0,95,0,0.948,95,0.04,74356,5.19,0.8,0.7,12.5
Oman,Middle East,0,76.9,89.1875,9.6,0.45,0,99,0,54.6,1,99,0,0.795,99,0.05,18445,4.27,7.1,6.9,9.5
Pakistan,Asia,0,66.6,160.141,62.1,0.04,0,72,386,25.4,433,72,0,0.548,72,0.13,1357,199.43,19.2,19.6,5.1
Panama,Central America and Caribbean,0,77.8,114.701,14.6,6.84,0,73,0,57.8,1,72,0,0.785,73,0.4,13630,3.97,1.9,1.8,9.9
Papua New Guinea,Oceania,0,63.5,225.4075,40.2,1.36,0,67,38,48.6,12,74,0,0.515,73,0.41,2679,8.11,1.3,1.3,4.3
Paraguay,South America,0,73.7,145.351,19,5.21,0,93,0,5.2,3,89,0,0.692,93,0.14,5414,6.69,2,1.9,8.5
Peru,South America,0,75.8,124.07,12.2,5.68,0,9,4,55.6,10,88,0,0.737,90,0.13,6229,30.47,1.1,1.1,9.1
Philippines,Asia,0,70.6,199.7365,23.4,4.52,0,6,619,25.4,66,79,0,0.679,60,0.1,3001,102.11,1,9.7,9.3
Poland,European Union,1,77.5,113.669,4.2,10.47,0,96,0,61.7,2,92,0,0.852,98,0.08,12578,37.99,1.9,2,12.1
Portugal,European Union,1,81.1,73.283,3,10.34,0,98,8,61.6,0,98,0,0.841,98,0.12,19250,10.36,0.7,0.5,9.1
Qatar,Middle East,0,79.8,56.2695,6.7,1.03,0,99,18,69.3,0,99,0,0.855,99,0.06,63039,2.57,5.2,4.9,9.8
Romania,European Union,1,74.9,128.603,7.7,9.45,0,9,4,6.7,2,89,0,0.798,89,0.04,8969,19.82,2.5,2.7,10.9
Russian Federation,Rest of Europe,0,71.2,223,6.6,8.06,0,97,843,6.5,15,97,0,0.805,97,0.08,9313,144.1,2.3,2.3,12
Rwanda,Africa,0,67.5,203.574,34.6,6.31,0,98,1,21.4,15,99,0,0.493,98,0.59,751,11.37,5.7,5.7,4
Samoa,Oceania,0,72.7,111.949,15.9,2.1,0,59,0,74.7,0,61,0,0.702,66,0.17,4074,0.19,0.2,0.1,10.3
Sao Tome and Principe,Central America and Caribbean,0,69.4,191.586,18.5,5,0,96,0,3.9,0,96,0,0.565,96,0.15,1585,0.2,5.5,5.3,5.6
Saudi Arabia,Middle East,0,74.7,87.974,7.8,0,0,98,219,68.2,8,97,0,0.845,98,0.13,20628,31.72,7.8,7.6,9.5
Senegal,Africa,0,66.7,190.0275,34.7,0.19,0,89,58,24.3,26,85,0,0.491,89,0.1,1219,14.58,9.5,9.3,2.9
Serbia,Rest of Europe,0,75.3,114.328,5.4,7.2,0,94,383,6,1,95,0,0.775,95,0.02,5589,7.1,2,2,11
Seychelles,Africa,0,74.3,151.6085,12.7,8.7,0,98,0,37.4,0,97,0,0.781,97,3.5,15158,0.09,5.7,6,9.5
Sierra Leone,Africa,0,52.9,397.8705,95.1,3.06,0,86,607,24.4,30,86,0,0.431,86,0.85,588,7.17,7.4,7.3,3.4
Singapore,Asia,0,82.7,50.9615,2.2,1.82,0,96,0,33.2,0,96,0,0.924,96,0.07,55647,5.54,2.2,2.2,11.5
Slovak Republic,European Union,1,76.6,110.515,5.1,10.27,0,96,1,59.1,0,96,0,0.842,96,0.02,16342,5.42,1.2,1.2,12.5
Slovenia,European Union,1,80.8,73.356,2.1,11.49,0,0,18,6.1,0,95,0,0.888,95,0.01,20890,2.06,1.4,1.3,12
Solomon Islands,Oceania,0,72.2,148.087,19.3,1.01,0,98,0,5.5,0,99,0,0.514,98,0.17,2167,0.6,1.1,1.2,5.4
Somalia,Africa,0,55.9,308.303,83.6,0,0,0,0,0,0,0,0,0,42,0.13,386,13.8,6.6,6.4,2.1
South Africa,Africa,0,62.6,351.3925,28.6,7.2,0,75,17,51.1,52,75,0,0.665,75,6.91,6260,55.39,4.4,5.3,10.1
Spain,European Union,1,82.8,57.9025,2.7,10.35,0,97,115,66.6,1,97,0,0.882,97,0.09,25742,46.44,0.6,0.5,9.7
Sri Lanka,Asia,0,76.3,109.1795,7.5,2.72,0,99,1568,23.4,3,99,0,0.764,99,0.01,3844,20.97,15.1,15,10.9
St. Lucia,Central America and Caribbean,0,75.6,136.3935,19.5,9.23,0,0,0,0,0,0,0,0,99,0.4,10094,0.18,4.3,4.3,8.9
St. Vincent and the Grenadines,Central America and Caribbean,0,72.1,154.8235,15.2,7.41,0,0,0,0,0,0,0,0,98,0.4,7207,0.11,3.5,3.4,8.6
Suriname,South America,0,71.2,170.129,18.2,4.75,0,89,0,58.3,0,89,0,0.723,89,0.47,9168,0.56,3.5,3.5,8.4
Sweden,European Union,1,82.2,53.4415,2.3,7.13,0,67,22,59.5,0,98,0,0.909,98,0.08,51545,9.8,1.5,1.4,12.4
Switzerland,Rest of Europe,1,82.9,49.384,3.7,9.62,0,0,35,57.4,0,97,0,0.938,97,0.05,84776,8.28,0.4,0.3,13.4
Syrian Arab Republic,Middle East,0,69.9,178.1065,25.6,0.23,0,41,45,57.1,8,5,0,0.553,41,0.13,979,18,6.3,6.1,5.1
Tajikistan,Asia,0,70.1,134.715,32.6,0.92,0,96,3,4.7,11,96,0,0.625,96,0.11,978,8.45,3.6,3.7,10.5
Tanzania,Africa,0,63.1,239.667,40.9,7.86,0,0,0,0,0,0,0,0,98,2.01,948,51.48,6.7,6.5,5.8
Thailand,Asia,0,76.1,148.889,9.3,6.95,0,99,154,33.6,9,99,0,0.738,99,0.16,5840,68.71,7.7,7.7,7.6
Timor-Leste,Oceania,0,68.5,149.7365,42.8,0.41,0,76,43,17.4,2,75,0,0.603,76,0.1,1333,1.2,1.9,11.1,4.5
Togo,Africa,0,59.9,271.709,50.8,1.36,0,88,20,24.3,20,88,0,0.484,88,0.72,571,7.32,6.5,6.2,4.7
Tonga,Oceania,0,70.5,134.0135,10.7,0.23,0,78,0,75.2,0,8,0,0.718,78,0.17,4336,0.1,0.1,0.1,11.2
Trinidad and Tobago,Central America and Caribbean,0,72.9,168.7145,17.3,5.97,0,9,0,47.1,0,88,0,0.779,96,0.4,18384,1.37,5.7,5.9,10.8
Tunisia,Africa,0,75.9,91.343,14.8,1.5,0,98,16,61.2,3,98,0,0.723,98,0.04,4095,11.18,6.5,6.4,7
Turkiye,Middle East,0,76.5,105.824,11.1,1.32,0,97,342,66.1,18,97,0,0.764,97,0.08,11006,78.53,4.9,4.8,7.8
Turkmenistan,Asia,0,67.7,189.928,36.4,3.36,0,99,0,48.6,7,99,0,0.688,99,0.08,6433,5.57,3.3,3.3,9.8
Uganda,Africa,0,61.4,311.7215,38.9,7.44,14.1677,78,314,18.1,97,82,7.22,0.483,78,2.08,847,38.23,5.6,5.6,5.7
Ukraine,Rest of Europe,0,71.2,202.8,8.1,6.04,5.663849,22,0,6.7,5,45,7.1,0.746,23,0.23,2125,45.15,2.3,2.4,11.3
United Arab Emirates,Middle East,0,77.3,68.5765,6.5,2.12,0,99,347,64.2,1,99,0,0.836,99,0.13,38663,9.26,5.3,5.1,10.6
United Kingdom,Rest of Europe,1,81,69.3335,3.8,9.59,0,0,91,66.6,4,96,0,0,96,0.08,45405,65.12,0.8,0.6,12.8
United States of America,North America,1,78.7,107.377,5.8,8.78,0,92,188,69.6,26,93,0,0,95,0.12,56763,320.74,0.8,0.6,13.3
Uruguay,South America,0,77.4,105.685,7.6,6,0,95,0,64,0,95,0,0.794,95,0.24,15614,3.41,1.5,1.4,8.7
Uzbekistan,Asia,0,70.9,140.815,17.3,2.59,0,99,22,44.7,17,99,0,0.697,99,0.14,2754,31.3,3,3.1,11.4
Vanuatu,Oceania,0,69.9,131.2085,23.6,1.42,0,64,39,53.3,0,65,0,0.598,64,0.17,2696,0.27,1.5,1.4,6.8
Venezuela,South America,0,72.6,141.554,16.4,6.21,0,87,0,62.1,10,87,0,0.769,87,0.4,17318,30.08,1.6,1.5,10.1
Vietnam,Asia,0,75.1,124.547,17.4,2.98,0,97,256,17.5,35,97,0,0.678,97,0.12,2582,92.68,14.2,14.5,8
Yemen,Middle East,0,66.1,221.5195,46.1,0.03,0,69,468,41.3,47,63,0,0.499,69,0.03,1602,26.5,13.6,13.4,3
Zambia,Africa,0,61.7,302.822,46.9,3.5,0,9,9,23.4,40,9,0,0.576,90,4.48,1338,15.88,6.3,6.1,6.9
Zimbabwe,Africa,0,59.5,368.141,42.1,3.84,0,87,0,31.8,32,88,0,0.507,87,3.86,1445,13.81,5.6,5.5,8.2